,num_sim,potential,iteration
0,0,0.0,391
1,1,0.21875,4999
2,2,0.0,717
3,3,0.0,1715
4,4,0.0,563
5,5,0.0,3358
6,6,0.0,1361
7,7,0.0,609
8,8,0.0,3282
9,9,0.0,810
