,num_sim,potential,iteration
0,0,0.0,1417
1,1,0.0,949
2,2,0.0,569
3,3,0.0,409
4,4,0.0,1124
5,5,0.0,1994
6,6,0.0,660
7,7,0.0,46
8,8,0.0,1298
9,9,0.0,1884
