,potential,iteration
0,0.5,4999
1,0.5,4999
2,0.5,4999
3,0.375,4999
4,0.5,4999
5,0.5,4999
6,0.5,4999
7,0.5,4999
8,0.0,2320
9,0.375,4999
10,0.5,4999
11,0.5,4999
12,0.5,4999
13,0.5,4999
14,0.5,4999
15,0.5,4999
16,0.0,3687
17,0.5,4999
18,0.5,4999
19,0.5,4999
20,0.5,4999
21,0.5,4999
22,0.5,4999
23,0.5,4999
24,0.5,4999
25,0.5,4999
26,0.4375,4999
27,0.4375,4999
28,0.5,4999
29,0.5,4999
30,0.5,4999
31,0.5,4999
32,0.0,2464
33,0.5,4999
34,0.5,4999
35,0.5,4999
36,0.5,4999
37,0.5,4999
38,0.5,4999
39,0.5,4999
40,0.375,4999
41,0.5,4999
42,0.5,4999
43,0.5,4999
44,0.0,926
45,0.5,4999
46,0.5,4999
47,0.5,4999
48,0.5,4999
49,0.5,4999
50,0.5,4999
51,0.5,4999
52,0.5,4999
53,0.5,4999
54,0.4375,4999
55,0.5,4999
56,0.5,4999
57,0.0,1216
58,0.5,4999
59,0.5,4999
60,0.5,4999
61,0.5,4999
62,0.5,4999
63,0.5,4999
64,0.0,36
65,0.5,4999
66,0.5,4999
67,0.5,4999
68,0.5,4999
69,0.4375,4999
70,0.5,4999
71,0.0,956
72,0.5,4999
73,0.0,3309
74,0.5,4999
75,0.5,4999
76,0.46875,4999
77,0.5,4999
78,0.5,4999
79,0.46875,4999
80,0.5,4999
81,0.5,4999
82,0.5,4999
83,0.5,4999
84,0.0,1363
85,0.5,4999
86,0.5,4999
87,0.5,4999
88,0.0,4505
89,0.5,4999
90,0.5,4999
91,0.46875,4999
92,0.5,4999
93,0.5,4999
94,0.5,4999
95,0.5,4999
96,0.5,4999
97,0.4375,4999
98,0.5,4999
99,0.5,4999
100,0.5,4999
101,0.5,4999
102,0.5,4999
103,0.4375,4999
104,0.5,4999
105,0.5,4999
106,0.5,4999
107,0.5,4999
108,0.5,4999
109,0.5,4999
110,0.5,4999
111,0.5,4999
112,0.5,4999
113,0.5,4999
114,0.5,4999
115,0.5,4999
116,0.5,4999
117,0.5,4999
118,0.4375,4999
119,0.5,4999
120,0.5,4999
121,0.5,4999
122,0.5,4999
123,0.5,4999
124,0.5,4999
125,0.5,4999
126,0.5,4999
127,0.46875,4999
128,0.5,4999
129,0.5,4999
130,0.5,4999
131,0.5,4999
132,0.5,4999
133,0.5,4999
134,0.5,4999
135,0.5,4999
136,0.5,4999
137,0.5,4999
138,0.5,4999
139,0.5,4999
140,0.5,4999
141,0.5,4999
142,0.5,4999
143,0.5,4999
144,0.5,4999
145,0.5,4999
146,0.5,4999
147,0.5,4999
148,0.0,1433
149,0.5,4999
150,0.4375,4999
151,0.5,4999
152,0.5,4999
153,0.5,4999
154,0.4375,4999
155,0.5,4999
156,0.5,4999
157,0.5,4999
158,0.5,4999
159,0.5,4999
160,0.5,4999
161,0.5,4999
162,0.5,4999
163,0.0,1396
164,0.5,4999
165,0.0,1267
166,0.5,4999
167,0.5,4999
168,0.5,4999
169,0.5,4999
170,0.0,4000
171,0.5,4999
172,0.5,4999
173,0.5,4999
174,0.5,4999
175,0.5,4999
176,0.5,4999
177,0.5,4999
178,0.5,4999
179,0.5,4999
180,0.5,4999
181,0.5,4999
182,0.5,4999
183,0.0,332
184,0.5,4999
185,0.5,4999
186,0.5,4999
187,0.5,4999
188,0.5,4999
189,0.5,4999
190,0.5,4999
191,0.5,4999
192,0.5,4999
193,0.5,4999
194,0.5,4999
195,0.5,4999
196,0.5,4999
197,0.5,4999
198,0.5,4999
199,0.0,3300
200,0.5,4999
201,0.5,4999
202,0.5,4999
203,0.5,4999
204,0.5,4999
205,0.5,4999
206,0.5,4999
207,0.5,4999
208,0.5,4999
209,0.0,4706
210,0.5,4999
211,0.5,4999
212,0.5,4999
213,0.5,4999
214,0.46875,4999
215,0.5,4999
216,0.5,4999
217,0.5,4999
218,0.5,4999
219,0.5,4999
220,0.4375,4999
221,0.5,4999
222,0.5,4999
223,0.5,4999
224,0.5,4999
225,0.5,4999
226,0.5,4999
227,0.5,4999
228,0.5,4999
229,0.0,3613
230,0.375,4999
231,0.5,4999
232,0.5,4999
233,0.5,4999
234,0.5,4999
235,0.5,4999
236,0.5,4999
237,0.5,4999
238,0.5,4999
239,0.5,4999
240,0.4375,4999
241,0.5,4999
242,0.5,4999
243,0.5,4999
244,0.5,4999
245,0.5,4999
246,0.5,4999
247,0.4375,4999
248,0.5,4999
249,0.4375,4999
250,0.5,4999
251,0.5,4999
252,0.5,4999
253,0.5,4999
254,0.5,4999
255,0.375,4999
256,0.5,4999
257,0.5,4999
258,0.5,4999
259,0.375,4999
260,0.5,4999
261,0.5,4999
262,0.5,4999
263,0.5,4999
264,0.5,4999
265,0.5,4999
266,0.5,4999
267,0.5,4999
268,0.5,4999
269,0.5,4999
270,0.5,4999
271,0.5,4999
272,0.5,4999
273,0.5,4999
274,0.5,4999
275,0.5,4999
276,0.5,4999
277,0.0,3024
278,0.5,4999
279,0.5,4999
280,0.375,4999
281,0.5,4999
282,0.5,4999
283,0.5,4999
284,0.5,4999
285,0.5,4999
286,0.5,4999
287,0.0,314
288,0.5,4999
289,0.5,4999
290,0.5,4999
291,0.5,4999
292,0.5,4999
293,0.5,4999
294,0.0,2682
295,0.5,4999
296,0.5,4999
297,0.5,4999
298,0.5,4999
299,0.5,4999
