,potential,iteration,max_steps,annealing_param,annealing_scheme,net_size,num_copies,pdb_mutation
0,0.0,250,3000,0.005,"['geom', 0.99]",15,5,0.06
1,0.0,366,3000,0.005,"['geom', 0.99]",15,5,0.06
2,0.0,540,3000,0.005,"['geom', 0.99]",15,5,0.06
3,0.0,371,3000,0.005,"['geom', 0.99]",15,5,0.06
4,0.0,208,3000,0.005,"['geom', 0.99]",15,5,0.06
5,0.0,358,3000,0.005,"['geom', 0.99]",15,5,0.06
6,0.0,457,3000,0.005,"['geom', 0.99]",15,5,0.06
7,0.0,463,3000,0.005,"['geom', 0.99]",15,5,0.06
8,0.0,203,3000,0.005,"['geom', 0.99]",15,5,0.06
9,0.0,354,3000,0.005,"['geom', 0.99]",15,5,0.06
10,0.0,635,3000,0.005,"['geom', 0.99]",15,5,0.06
11,0.0,1092,3000,0.005,"['geom', 0.99]",15,5,0.06
12,0.0,311,3000,0.005,"['geom', 0.99]",15,5,0.06
13,0.125,2999,3000,0.005,"['geom', 0.99]",15,5,0.06
14,0.0,250,3000,0.005,"['geom', 0.99]",15,5,0.06
15,0.25,2999,3000,0.005,"['geom', 0.99]",15,5,0.06
16,0.0,156,3000,0.005,"['geom', 0.99]",15,5,0.06
17,0.0,1482,3000,0.005,"['geom', 0.99]",15,5,0.06
18,0.0,545,3000,0.005,"['geom', 0.99]",15,5,0.06
19,0.125,2999,3000,0.005,"['geom', 0.99]",15,5,0.06
20,0.0,406,3000,0.005,"['geom', 0.99]",15,5,0.06
21,0.0,552,3000,0.005,"['geom', 0.99]",15,5,0.06
22,0.0,634,3000,0.005,"['geom', 0.99]",15,5,0.06
23,0.0,995,3000,0.005,"['geom', 0.99]",15,5,0.06
24,0.0,482,3000,0.005,"['geom', 0.99]",15,5,0.06
25,0.0,762,3000,0.005,"['geom', 0.99]",15,5,0.06
26,0.0,61,3000,0.005,"['geom', 0.99]",15,5,0.06
27,0.0,594,3000,0.005,"['geom', 0.99]",15,5,0.06
28,0.0,2147,3000,0.005,"['geom', 0.99]",15,5,0.06
29,0.0,760,3000,0.005,"['geom', 0.99]",15,5,0.06
30,0.0,2646,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
31,0.0,616,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
32,0.0,782,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
33,0.0,1482,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
34,0.0,623,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
35,0.0,294,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
36,0.0,948,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
37,0.0,337,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
38,0.0,890,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
39,0.0,2678,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
40,0.0,456,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
41,0.0,1285,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
42,0.0,1224,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
43,0.0,1210,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
44,0.0,821,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
45,0.0,482,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
46,0.0,567,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
47,0.0,400,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
48,0.0,397,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
49,0.0,509,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
50,0.0,391,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
51,0.0,271,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
52,0.0,640,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
53,0.0,571,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
54,0.0,451,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
55,0.0,469,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
56,0.0,284,3000,0.34965517241379307,"['geom', 0.99]",15,5,0.06
