,potential,step
354,0.15625,354
355,0.15625,355
356,0.15625,356
357,0.15625,357
358,0.15625,358
359,0.03125,359
360,0.03125,360
361,0.03125,361
362,0.03125,362
363,0.03125,363
364,0.03125,364
365,0.03125,365
366,0.03125,366
367,0.03125,367
368,0.03125,368
369,0.03125,369
370,0.03125,370
371,0.03125,371
372,0.03125,372
373,0.03125,373
374,0.03125,374
375,0.03125,375
376,0.03125,376
377,0.03125,377
378,0.46875,378
379,0.46875,379
380,0.46875,380
381,0.46875,381
382,0.21875,382
383,0.21875,383
384,0.21875,384
385,0.15625,385
386,0.21875,386
387,0.21875,387
388,0.21875,388
389,0.21875,389
390,0.21875,390
391,0.21875,391
392,0.21875,392
393,0.21875,393
394,0.21875,394
395,0.21875,395
396,0.21875,396
397,0.21875,397
398,0.21875,398
399,0.21875,399
400,0.21875,400
401,0.21875,401
402,0.21875,402
403,0.46875,403
404,0.34375,404
405,0.34375,405
406,0.21875,406
407,0.21875,407
408,0.21875,408
409,0.21875,409
410,0.21875,410
411,0.21875,411
412,0.09375,412
413,0.21875,413
414,0.09375,414
415,0.09375,415
416,0.09375,416
417,0.09375,417
418,0.03125,418
419,0.03125,419
420,0.03125,420
421,0.03125,421
422,0.03125,422
423,0.03125,423
424,0.03125,424
425,0.03125,425
426,0.03125,426
427,0.03125,427
428,0.03125,428
429,0.03125,429
430,0.03125,430
431,0.03125,431
432,0.03125,432
433,0.46875,433
434,0.03125,434
435,0.03125,435
436,0.03125,436
437,0.03125,437
438,0.03125,438
439,0.03125,439
440,0.15625,440
441,0.15625,441
442,0.15625,442
443,0.21875,443
444,0.21875,444
445,0.03125,445
446,0.03125,446
447,0.03125,447
448,0.03125,448
449,0.03125,449
450,0.03125,450
451,0.03125,451
452,0.03125,452
453,0.03125,453
454,0.03125,454
455,0.03125,455
456,0.03125,456
457,0.03125,457
458,0.03125,458
459,0.03125,459
460,0.03125,460
461,0.03125,461
462,0.03125,462
463,0.03125,463
464,0.03125,464
465,0.03125,465
466,0.03125,466
467,0.03125,467
468,0.03125,468
469,0.03125,469
470,0.03125,470
471,0.03125,471
472,0.03125,472
473,0.03125,473
474,0.40625,474
475,0.03125,475
476,0.03125,476
477,0.03125,477
478,0.03125,478
479,0.03125,479
480,0.03125,480
481,0.03125,481
482,0.03125,482
483,0.03125,483
484,0.03125,484
