,Unnamed: 0,potential,iteration,switch_ratio,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,init_temperatures
17,17,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
18,18,0.0,3895,0.776,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
19,19,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
20,20,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
21,21,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
22,22,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
23,23,0.375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
24,24,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
25,25,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
26,26,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
27,27,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
28,28,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
29,29,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
30,30,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
31,31,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
32,32,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
33,33,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
34,34,0.375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
35,35,0.375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
36,36,0.0,273,0.048,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
37,37,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
38,38,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
39,39,0.0,1408,0.28,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
40,40,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
41,41,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
42,42,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
43,43,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
44,44,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
45,45,0.0,1785,0.352,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
46,46,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
47,47,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
48,48,0.0,812,0.16,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
49,49,0.5,5000,1.0,5000,40,['const'],15,5,0.06,2,"['gaussian', 1]","[0.01, 150.0]"
50,50,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
51,51,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
52,52,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
53,53,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
54,54,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
55,55,0.0,2138,0.424,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
56,56,0.0,874,0.168,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
57,57,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
58,58,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
59,59,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
60,60,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
61,61,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
62,62,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
63,63,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
64,64,0.0,1807,0.36,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
65,65,0.0,2795,0.552,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
66,66,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
67,67,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
68,68,0.0,2193,0.432,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
69,69,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
70,70,0.0,4381,0.872,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
71,71,0.0,2684,0.536,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
72,72,0.0,974,0.192,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
73,73,0.0,1948,0.384,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
74,74,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
75,75,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
76,76,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
77,77,0.0,1938,0.384,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
78,78,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
79,79,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
80,80,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
81,81,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
82,82,0.0,3843,0.768,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
83,83,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
84,84,0.0,4828,0.96,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
85,85,0.0,3521,0.704,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
86,86,0.0,440,0.08,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
87,87,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
88,88,0.0,852,0.168,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
89,89,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
90,90,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
91,91,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
92,92,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
93,93,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
94,94,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
95,95,0.0,661,0.128,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
96,96,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
97,97,0.0,501,0.096,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
98,98,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
99,99,0.5,5000,1.0,5000,40,['const'],15,5,0.06,3,"['gaussian', 1]","[0.01, 75.00500000000001, 150.0]"
100,100,0.0,1883,0.376,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
101,101,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
102,102,0.0,1383,0.272,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
103,103,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
