,0
0,0.9985453627560643
1,0.999533696349826
2,0.9937426680832867
3,0.9987249059038815
4,0.9994140740625086
5,1.0
6,0.9994140740625086
7,0.9971040947434276
8,1.0
9,0.9873421020257259
10,0.9957299590291501
11,0.9978244195171109
12,0.9978259884495003
13,0.9980462248231154
14,1.0
15,0.999661409036834
16,0.9964482290269124
17,0.9978962697667598
18,0.9963646531715853
19,0.9996800428579645
20,0.9961668796720088
21,0.9924961422086677
22,0.9994140740625086
23,0.9960337245538577
24,0.9995114982249479
25,0.9994686298416295
26,0.9973067544415904
27,0.9953281272214178
28,0.9889378196051357
29,0.998857544608814
30,0.996512824143639
31,0.9961316384376501
32,0.9968408366957091
33,0.9896745016436452
34,0.9963466245155219
35,0.9971879063347056
36,0.996614086500039
37,0.9992946904947201
38,0.9884044632092887
39,0.9927124071839329
40,0.9833045926066134
41,0.9980671016142235
42,0.9883486799540643
43,0.999858764625149
44,0.9955216326147902
45,1.0
46,0.9968900413529355
47,0.9976133310847876
48,0.9980285233412518
49,0.9933149744205575
50,0.999063608642063
51,0.9961187322749738
52,0.9915785153557709
53,0.994882407910873
54,0.999858794954743
55,0.9976616981864139
56,0.99814104152781
57,0.9968375625621514
58,1.0
59,0.9983693850219602
60,0.9902877512899622
61,0.9889661594385284
62,0.9940108298970418
63,0.9972160446804647
64,0.9940642262500868
65,0.9991797108720537
66,0.9961837467368398
67,0.9996879637287034
68,0.9985016530275636
69,0.9934051701369114
70,0.9994134877220907
71,0.994456657410027
72,0.9975958863522278
73,0.9985819050023005
74,0.9910015956385924
75,0.9994369557280033
76,0.9958660770709298
77,1.0
78,0.9929701531121851
79,0.9982548377537536
80,0.9997022120948132
81,0.993469639359567
82,1.0
83,0.9982723764437137
84,0.9952980026281834
85,0.9940590187293284
86,0.9958074577381659
87,0.9972470377018108
88,0.9996304089218008
89,0.9915215335724564
90,0.9995887909362928
91,0.9984589536568769
92,0.9980729408845391
93,0.9911430141415394
94,0.998397946731782
95,0.9983693850219602
96,0.9886224499955347
97,0.9970455779403682
98,0.9966803433672613
99,0.987547955288388
100,1.0
101,0.999813412164797
102,0.9993318056791198
103,0.9948177435672255
104,0.9955471163350016
105,0.9904373779933472
106,0.9876715883477984
107,0.9926954927160695
108,0.9977731004295701
109,0.9937140790162536
110,0.9996361181286886
111,0.9913203550354284
112,0.9964871115663488
113,0.9966361722015195
114,0.9924234310432589
115,0.9998757241918712
116,0.991621496845384
117,0.9977219995396966
118,0.9966509557489938
119,0.9983777114512169
120,0.9971036499973888
121,0.9914781417049099
122,1.0
123,0.9991604592460045
124,0.9987593311262956
125,0.9973357585988094
126,0.9939989306372029
127,0.9902862363437729
128,0.9945328577095999
129,0.9960377117092059
130,0.995839845952421
131,0.9990766970930615
132,0.99703547671979
133,0.9932298587601969
134,0.9971080877915606
135,0.999948127249506
136,0.9957439741442288
137,0.9986046199888234
138,0.9919429694678564
139,0.9999387947100384
140,0.9980786989219937
141,0.9888292238140136
142,0.9984893674082067
143,0.9951917819060058
144,0.9997549378193665
145,0.9999646846159465
146,0.99964928336592
147,1.0
148,0.9958521344071272
149,0.9997546920499378
150,0.9950775018068004
151,0.9859673132451212
152,0.9912816487802667
153,0.9969471072850592
154,0.9992173721625499
155,0.9968360509786128
156,0.9954149019053936
157,0.9943887722753522
158,0.9987604715350714
159,0.9940912028617155
160,0.9954346106978692
161,0.9960715750239304
162,0.9994123115136636
163,0.9999387333224606
164,0.9980000206229668
165,0.9937298785068938
166,0.9976482546017917
167,0.9898509913286443
168,1.0
169,0.9994123115136636
170,1.0
171,0.9920704413504439
172,0.9921951396353076
173,0.9995140207537856
174,0.9939020456878959
175,0.9993044856709332
176,0.9975071877502788
177,0.9975845106993446
178,0.9998132250329924
179,0.9995990115860733
180,0.9998317995254659
181,0.9996209205637732
182,0.9984495611424465
183,0.9893144171088651
184,0.9885806831557583
185,0.9987666104916053
186,0.9902987177704277
187,0.9909627120020736
188,0.9932306994752822
189,0.995202736966431
